property_type,region,area_m2,price_usd,state,lat,lon
apartment,Northeast,79.0,156457.9,Bahia,-12.98223,-38.43898
apartment,Northeast,103.0,252888.97,Bahia,-12.998506,-38.52309
apartment,Northeast,90.0,158740.56,Bahia,-12.970966,-38.436806
apartment,Northeast,84.0,146664.17,Bahia,-13.000443,-38.45739
apartment,Northeast,59.0,130749.54,Bahia,-13.000164,-38.489021
apartment,Northeast,97.0,193471.88,Bahia,-13.000443,-38.45739
apartment,Northeast,110.0,152905.19,Bahia,-12.983924,-38.450443
apartment,Northeast,115.0,288335.51,Bahia,-13.000164,-38.489021
apartment,Northeast,113.0,101416.71,Bahia,-14.827576,-39.029541
apartment,Northeast,109.0,160706.48,Bahia,-14.801797,-39.041534
apartment,Northeast,112.0,90494.91,Bahia,-14.859674,-40.820404
house,Northeast,190.0,106097.48,Bahia,-14.841515,-39.02878
house,Northeast,130.0,84253.88,Bahia,-12.147748,-44.995347
house,Northeast,80.0,468077.13,Bahia,-12.973864,-38.466591
apartment,Northeast,70.0,133462.52,Bahia,-12.965071,-38.435036
apartment,Northeast,65.0,102641.2,Bahia,-12.938337,-38.362667
apartment,Northeast,67.0,86296.26,Bahia,-12.149824,-44.992315
house,Northeast,145.0,78012.85,Bahia,-12.146704,-45.009677
house,Northeast,96.0,202833.42,Bahia,-16.444413,-39.065332
apartment,Northeast,86.0,132683.01,Bahia,-14.78655,-39.03495
house,Northeast,110.0,109217.99,Bahia,-14.834512,-39.026514
apartment,Northeast,75.0,76452.59,Bahia,-14.844938,-39.026431
apartment,Northeast,113.0,102581.9,Bahia,-14.827576,-39.029541
house,Northeast,114.0,95487.73,Bahia,-14.841484,-39.028789
apartment,Northeast,58.0,91811.77,Bahia,-14.816835,-39.025423
apartment,Northeast,132.0,78012.85,Bahia,-12.139819,-45.012824
apartment,Northeast,84.0,122636.21,Bahia,-14.78619,-39.03628
house,Northeast,110.0,90494.91,Bahia,-12.15477,-45.0016
apartment,Northeast,96.0,87374.39,Bahia,-12.144439,-44.996502
house,Northeast,182.0,109217.99,Bahia,-14.841515,-39.02878
house,Northeast,136.0,101416.71,Bahia,-14.841515,-39.02878
apartment,Northeast,194.0,102976.97,Bahia,-12.149369,-44.990957
apartment,Northeast,220.0,405666.85,Bahia,-13.009679,-38.486305
apartment,Northeast,142.0,343256.56,Bahia,-12.950598,-38.40873
apartment,Northeast,108.0,168507.77,Bahia,-12.993305,-38.45739
apartment,Northeast,74.0,102976.97,Bahia,-12.990577,-38.510612
apartment,Northeast,140.0,140423.14,Bahia,-13.009875,-38.481541
apartment,Northeast,94.0,165387.25,Bahia,-12.970382,-38.512382
apartment,Northeast,67.0,140423.14,Bahia,-12.985207,-38.456074
apartment,Northeast,60.0,117647.44,Bahia,-12.993782,-38.492218
apartment,Northeast,110.0,126968.0,Bahia,-12.971756,-38.438103
apartment,Northeast,105.0,218435.99,Bahia,-12.993305,-38.45739
apartment,Northeast,115.0,143543.65,Bahia,-13.000443,-38.45739
apartment,Northeast,65.0,86219.8,Bahia,-14.840205,-39.031994
apartment,Northeast,74.0,109998.12,Bahia,-14.805622,-39.037059
apartment,Northeast,115.0,196592.39,Bahia,-13.009623,-38.514156
apartment,Northeast,110.0,131061.59,Bahia,-12.983924,-38.450443
apartment,Northeast,57.0,98296.19,Bahia,-12.957254,-38.429649
house,Northeast,182.0,102976.97,Bahia,-14.841515,-39.02878
apartment,Northeast,243.0,452474.56,Bahia,-12.950598,-38.40873
house,Northeast,115.0,93615.42,Bahia,-14.841484,-39.028789
house,Northeast,159.0,109217.99,Bahia,-14.841484,-39.028789
house,Northeast,120.0,202833.42,Bahia,-12.94748,-38.365459
apartment,Northeast,58.0,76452.59,Bahia,-12.939807,-38.367931
apartment,Northeast,92.0,165387.25,Bahia,-13.001169,-38.49419
apartment,Northeast,77.0,140423.14,Bahia,-12.990577,-38.510612
apartment,Northeast,145.0,191131.49,Bahia,-13.000443,-38.45739
apartment,Northeast,90.0,99856.45,Bahia,-12.9371316,-38.3556842
apartment,Northeast,180.0,143543.65,Bahia,-14.837616,-39.028094
apartment,Northeast,75.0,118579.54,Bahia,-12.981397,-38.441444
house,Northeast,110.0,218435.99,Bahia,-12.852844,-38.32711
apartment,Northeast,140.0,230918.05,Bahia,-12.9429024,-38.3982041
apartment,Northeast,210.0,343256.56,Bahia,-12.9429024,-38.3982041
apartment,Northeast,133.0,176777.13,Bahia,-12.9994819,-38.4560755
apartment,Northeast,130.0,112338.51,Bahia,-12.9808155,-38.5086421
apartment,Northeast,134.0,316732.19,Bahia,-12.992472,-38.52298
apartment,Northeast,120.0,186294.7,Bahia,-12.9890124,-38.4392045
apartment,Northeast,93.0,145103.91,Bahia,-12.9994819,-38.4560755
apartment,Northeast,70.0,123260.31,Bahia,-13.0002554,-38.5188762
apartment,Northeast,112.0,237159.08,Bahia,-12.950598,-38.40873
apartment,Northeast,168.0,343256.56,Bahia,-12.9930033,-38.5247961
apartment,Northeast,100.0,217811.89,Bahia,-15.61667,-39.7
apartment,Northeast,105.0,113898.77,Bahia,-12.9903761,-38.4468721
apartment,Northeast,107.0,132621.85,Bahia,-12.9994819,-38.4560755
apartment,Northeast,72.0,124820.57,Bahia,-12.9994819,-38.4560755
apartment,Northeast,143.0,227797.54,Bahia,-12.9429024,-38.3982041
apartment,Northeast,90.0,124820.57,Bahia,-12.9994819,-38.4560755
apartment,Northeast,98.0,171628.28,Bahia,-12.9928931,-38.4665922
apartment,Northeast,78.0,98296.19,Bahia,-12.9994819,-38.4560755
apartment,Northeast,164.0,296448.85,Bahia,-13.000164,-38.489021
apartment,Northeast,112.0,110778.25,Bahia,-12.992462,-38.444553
apartment,Northeast,70.0,87374.39,Bahia,-14.845166,-39.025691
house,Northeast,242.0,405666.85,Bahia,-16.58923,-39.095634
apartment,Northeast,70.0,118579.54,Bahia,-13.007857,-38.498463
apartment,Northeast,98.0,106097.48,Bahia,-13.003813,-38.528656
apartment,Northeast,154.0,436871.99,Bahia,-12.998506,-38.52309
apartment,Northeast,78.0,74892.34,Bahia,-14.828758,-40.797218
apartment,Northeast,87.0,156025.71,Bahia,-14.796621,-39.037969
house,Northeast,160.0,173600.15,Bahia,-12.9346259,-38.3314731
apartment,Northeast,104.0,88378.25,Bahia,-12.863804,-38.2770374
apartment,Northeast,190.0,123260.31,Bahia,-13.008737,-38.487831
apartment,Northeast,250.0,378763.96,Bahia,-12.9891996,-38.5236444
apartment,Northeast,140.0,233571.11,Bahia,-12.9858801,-38.460407
apartment,Northeast,215.0,394545.79,Bahia,-12.9891996,-38.5236444
apartment,Northeast,143.0,206741.99,Bahia,-12.9604584,-38.4053527
house,Northeast,220.0,126254.65,Bahia,-13.0447592787,-38.6910581589
apartment,Northeast,175.0,505018.62,Bahia,-12.9902375,-38.5245971
apartment,Northeast,130.0,205163.81,Bahia,-13.0091525,-38.5163816
apartment,Northeast,91.0,190541.0,Bahia,-12.9798238,-38.4573653
apartment,Northeast,128.0,454516.76,Bahia,-13.0095404,-38.5133791
apartment,Northeast,85.0,142036.48,Bahia,-13.0050327,-38.5199433
apartment,Northeast,99.0,230414.74,Bahia,-12.9930748,-38.5233928
apartment,Northeast,195.0,331418.47,Bahia,-12.9604584,-38.4053527
apartment,Northeast,55.0,78909.15,Bahia,-12.9053309,-38.4294106
apartment,Northeast,62.0,88378.25,Bahia,-12.9722361,-38.4242989
house,Northeast,120.0,83643.7,Bahia,-12.8993552,-38.31262
apartment,Northeast,70.0,107657.74,Bahia,-12.9808591,-38.4468721
apartment,Northeast,110.0,171628.28,Bahia,-12.9994819,-38.4560755
apartment,Northeast,190.0,131061.59,Bahia,-13.0087625,-38.4915625
apartment,Northeast,54.0,98296.19,Bahia,-12.992939,-38.473164
apartment,Northeast,160.0,277725.76,Bahia,-12.958966,-38.405651
apartment,Northeast,80.0,117019.28,Bahia,-12.974941,-38.440117
apartment,Northeast,122.0,96735.94,Bahia,-12.987904,-38.502075
apartment,Northeast,73.0,234038.56,Bahia,-13.004092,-38.5047
house,Northeast,120.0,106097.48,Bahia,-12.852844,-38.32711
apartment,Northeast,75.0,109217.99,Bahia,-12.9808591,-38.4468721
apartment,Northeast,90.0,130142.2,Bahia,-12.971983,-38.435127
apartment,Northeast,155.0,426109.46,Bahia,-12.995359,-38.4727763
apartment,Northeast,138.0,280846.28,Bahia,-14.860086,-40.827396
house,Northeast,220.0,171628.28,Bahia,-14.820078,-39.029449
apartment,Northeast,89.0,131061.59,Bahia,-12.990577,-38.510612
house,Northeast,250.0,240279.59,Bahia,-12.852844,-38.32711
apartment,Northeast,56.0,78012.85,Bahia,-12.971625,-38.486305
apartment,Northeast,82.0,156025.71,Bahia,-12.987011,-38.439724
apartment,Northeast,115.0,156025.71,Bahia,-13.004092,-38.5047
apartment,Northeast,230.0,249641.14,Bahia,-13.002217,-38.516796
apartment,Northeast,75.0,84253.88,Bahia,-12.987656,-38.482941
apartment,Northeast,54.0,75828.49,Bahia,-13.009679,-38.486305
apartment,Northeast,80.0,124820.57,Bahia,-13.007857,-38.498463
house,Northeast,110.0,81133.37,Bahia,-12.8569121,-38.2849718
apartment,Northeast,135.0,202833.42,Bahia,-12.9994819,-38.4560755
apartment,Northeast,53.0,99856.45,Bahia,-12.993533,-38.526047
